ID: 2020-03-06 17:09:24.948227	Date: 2020-03-06 17:09:24	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
24	42.0000	20.5400	0.6140	451835.8634
25	42.0000	21.5400	0.5991	473679.1227
26	42.0000	24.1000	0.5862	497696.0957
27	42.0000	24.7800	0.5867	519687.7911
28	42.0000	25.9600	0.5770	544739.0964
29	42.0000	27.0600	0.5787	568827.7719
30	42.0000	29.0800	0.5647	591774.5807
31	42.0000	29.7800	0.5387	613956.3289
32	42.0000	30.5800	0.5311	637627.5558
33	42.0000	31.9000	0.5238	662563.1564
34	42.0000	32.4000	0.5129	687513.8340
35	42.0000	33.9600	0.4677	712426.4228
36	42.0000	34.5200	0.4500	736849.4129
37	42.0000	35.0400	0.4431	761821.3034
38	42.0000	35.1600	0.4474	785254.3125
39	42.0000	35.6200	0.4382	810759.2247
40	42.0000	36.0000	0.4432	836135.5040
41	42.0000	36.2600	0.4360	861016.4535
42	42.0000	36.5600	0.4261	885264.7111
43	42.0000	36.9400	0.4346	910820.4989
44	42.0000	37.1400	0.4352	936142.4499
45	43.0000	37.5400	0.4281	961632.9505
46	46.0000	37.8800	0.4252	987286.5102
47	46.0000	37.9400	0.4236	1012831.4559
48	46.0000	38.2200	0.4166	1036743.3636
49	47.0000	38.6600	0.4251	1062149.1010
50	47.0000	38.6600	0.4177	1087011.9638
51	47.0000	39.0400	0.4090	1111866.0901
52	47.0000	39.2200	0.4097	1137357.5225
53	47.0000	39.4800	0.3969	1162949.7786
54	47.0000	39.7600	0.3890	1187996.6483
55	48.0000	39.9000	0.3836	1213106.9882
56	48.0000	39.9600	0.3850	1237530.0782
57	49.0000	40.2000	0.3913	1261954.8056
58	49.0000	40.2600	0.3852	1286415.6380
59	49.0000	40.4000	0.3947	1312042.3231
Pos: [843.0299471862296, 334.5016139785671, -1.6682395866716044, 0.9858552308946622]

Run: 4
Iter	Gbest	AvrFit	Diver	ETime	
0	1.0000	0.0400	1.0000	22386.9174
1	1.0000	0.0600	1.0000	33951.5500
2	5.0000	0.2400	0.9559	43941.3283
3	5.0000	0.3400	0.9672	54239.1863
4	5.0000	0.3600	0.9487	65874.2535
5	5.0000	0.3800	0.9540	76271.9796
6	5.0000	0.4000	0.9858	89686.3625
7	5.0000	0.4600	0.9924	106191.2994
8	5.0000	0.5400	0.9713	123847.9338
9	5.0000	0.6600	0.9696	143297.1473
10	5.0000	0.8400	0.9543	164330.9224
11	5.0000	0.8400	0.9558	184291.0898
12	5.0000	0.8800	0.9358	205816.7961
13	9.0000	1.1200	0.9323	227563.1402
14	12.0000	1.2600	0.9285	248297.8818
15	12.0000	1.3200	0.9237	266413.8937
16	12.0000	1.6600	0.9791	286933.9693
17	12.0000	1.8200	0.9348	304902.9036
18	12.0000	2.2200	0.9310	322214.6587
19	12.0000	2.2200	0.9420	339632.3822
20	12.0000	2.5800	0.9552	360155.6807
21	13.0000	2.9600	0.9609	380236.4645
22	15.0000	3.7000	0.9444	401189.0042
23	21.0000	4.1200	0.9637	418053.6921
24	21.0000	4.2600	0.9349	439050.1974
25	21.0000	4.6600	0.9413	461072.3424
26	21.0000	5.8600	0.8847	484188.1371
27	21.0000	6.5600	0.8524	505680.3520
28	21.0000	7.3200	0.8390	527750.5774
29	29.0000	8.2000	0.8295	551679.7416
30	29.0000	8.5600	0.8128	571970.8643
31	29.0000	8.9200	0.8075	592862.8931
32	29.0000	9.1000	0.8029	613163.9433
33	29.0000	10.0400	0.7930	635573.5867
34	38.0000	11.2600	0.7774	658763.1922
35	38.0000	11.7000	0.7577	680395.6237
36	38.0000	11.8800	0.7628	701676.6057
37	38.0000	12.9600	0.7399	723084.5988
38	38.0000	13.8800	0.7445	747650.0843
39	38.0000	14.4200	0.7467	770091.2583
40	38.0000	15.0000	0.7477	792208.8432
41	38.0000	15.4600	0.7478	815847.8956
42	38.0000	16.4200	0.7189	837228.4224
43	38.0000	18.2600	0.6991	860653.9357
44	38.0000	18.7200	0.6929	882652.3430
45	38.0000	19.2600	0.6988	904135.6800
46	38.0000	20.4800	0.6775	926222.8065
47	38.0000	22.0200	0.6253	949922.0481
48	38.0000	22.9800	0.6199	973256.5367
49	38.0000	23.4400	0.6180	998011.2100
50	38.0000	24.5400	0.5878	1020698.3278
51	38.0000	25.3800	0.5975	1045183.6133
52	38.0000	26.5200	0.5711	1067523.6003
53	38.0000	26.9600	0.5631	1092783.2718
54	38.0000	27.5600	0.5521	1116847.9018
55	38.0000	28.1400	0.5480	1142007.4539
56	38.0000	28.8200	0.5279	1164804.6288
57	38.0000	29.5200	0.5277	1189378.4187
58	38.0000	29.8000	0.5206	1213433.9180
59	38.0000	30.0800	0.5138	1237151.2997
Pos: [917.3833050988992, 392.51061211382233, -4.571799934134905, 0.829187099064605]

Run: 5
Iter	Gbest	AvrFit	Diver	ETime	
0	2.0000	0.0800	1.0000	26012.5771
1	2.0000	0.1200	1.0000	35873.4782
2	4.0000	0.2000	0.9514	48139.2641
3	4.0000	0.2200	0.9330	58017.7765
4	4.0000	0.2600	0.9406	66899.4975
5	4.0000	0.2800	0.9675	76203.9483
6	4.0000	0.3200	0.9639	85844.9697
7	4.0000	0.3200	0.9738	95607.0633
8	4.0000	0.4600	0.9217	108346.4844
9	4.0000	0.5000	0.9205	121506.0854
10	4.0000	0.5800	0.9294	133225.1000
11	4.0000	0.5800	0.9332	146736.9897
12	4.0000	0.7400	0.9256	160973.4266
13	4.0000	0.7800	0.9370	177607.7123
14	4.0000	0.8400	0.9595	195702.2495
15	26.0000	1.5000	0.9479	214279.0105
16	26.0000	1.6000	0.9294	231297.1537
17	26.0000	1.7200	0.8918	248753.9997
18	26.0000	1.8600	0.9176	268218.6811
19	26.0000	1.9200	0.9265	283603.4429
20	26.0000	2.5800	0.9217	302750.5703
21	26.0000	2.6400	0.9382	321652.2536
22	26.0000	2.8400	0.9311	340720.1173
23	26.0000	3.4000	0.9294	358731.5431
24	26.0000	3.6400	0.9310	379234.2076
25	26.0000	3.7600	0.9128	399392.8182
26	26.0000	4.1600	0.9092	422933.0440
27	26.0000	4.4600	0.8994	445271.9424
28	26.0000	5.5600	0.8649	467767.7228
29	26.0000	6.4400	0.8831	489986.8867
30	26.0000	6.8000	0.8609	511858.2335
31	26.0000	7.2400	0.8698	533808.7423
32	26.0000	7.6000	0.8624	555428.2222
33	26.0000	8.0200	0.8505	576150.6901
34	35.0000	9.2600	0.8575	597848.3932
35	35.0000	9.8200	0.8640	622370.0857
36	35.0000	10.0000	0.8620	644308.4748
37	35.0000	11.1400	0.8552	666333.4389
38	35.0000	11.4600	0.8467	688294.6656
39	35.0000	11.4600	0.8350	709277.7748
40	35.0000	11.4800	0.8185	729119.6158
41	35.0000	12.5200	0.8093	752500.8364
42	35.0000	13.0000	0.8049	774043.4134
43	37.0000	13.8800	0.7961	796351.6297
44	37.0000	14.7200	0.7590	818745.7318
45	37.0000	15.4800	0.7501	841173.1932
46	37.0000	16.4600	0.7484	862202.5762
47	37.0000	16.8800	0.7586	881770.6208
48	37.0000	17.3400	0.7390	901675.1084
49	37.0000	17.9000	0.7366	923066.0439
50	37.0000	18.0800	0.7357	945028.0612
51	37.0000	19.2200	0.6957	966437.0809
52	37.0000	20.7000	0.6824	987820.0688
53	37.0000	21.6600	0.6861	1009245.4553
54	37.0000	23.0400	0.6764	1032214.2746
55	37.0000	23.6400	0.6655	1054544.4419
56	37.0000	24.3600	0.6436	1076409.8263
57	37.0000	24.7400	0.6409	1097239.4547
58	37.0000	25.8600	0.6165	1118725.2393
59	38.0000	27.3200	0.5829	1142572.2713
Pos: [846.0440305021074, 382.4196055558404, 8.250081549393833, 0.8640715595846832]

Run: 6
Iter	Gbest	AvrFit	Diver	ETime	
0	1.0000	0.0400	1.0000	25580.3945
1	1.0000	0.0400	0.9651	37398.3428
2	3.0000	0.1200	0.9718	49235.6362
3	3.0000	0.1200	0.9692	62098.6981
4	3.0000	0.1600	0.9972	72079.5536
5	3.0000	0.2200	0.9606	84554.5728
6	3.0000	0.2600	0.9512	98430.2678
7	3.0000	0.3200	0.9346	112398.1259
8	22.0000	1.4600	0.9731	126829.1564
9	22.0000	1.5400	0.9781	139878.0513
10	22.0000	1.6000	0.9441	153014.9965
11	35.0000	2.3400	0.9434	168608.2623
12	35.0000	2.4200	0.9259	184290.4971
13	35.0000	2.9800	0.9069	202155.7772
14	35.0000	3.7400	0.9008	217046.5622
15	35.0000	3.8600	0.9083	234503.6688
16	35.0000	3.9600	0.8862	252967.5639
17	35.0000	4.6000	0.8826	267877.3799
18	35.0000	5.3400	0.8574	285884.3386
19	35.0000	5.7600	0.8634	304708.1449
20	35.0000	6.0400	0.8578	322160.7137
21	35.0000	6.2400	0.8246	337306.9005
22	35.0000	6.9000	0.8392	354470.4826
23	35.0000	7.6200	0.8275	373433.6836
24	35.0000	8.1200	0.8610	394407.1424
25	35.0000	8.8600	0.8416	413927.3050
26	35.0000	9.0400	0.8398	435303.1096
27	35.0000	9.8800	0.8077	456648.0348
28	35.0000	10.8400	0.8007	478582.0699
29	35.0000	11.7600	0.7930	500613.1551
30	35.0000	12.1600	0.7806	522452.8732
31	35.0000	12.8600	0.7773	543364.9936
32	37.0000	13.9800	0.7675	564797.2403
33	37.0000	14.2800	0.7689	586342.5567
34	37.0000	15.4800	0.7492	608438.0693
35	37.0000	16.1800	0.7386	629511.6758
36	37.0000	17.5600	0.7302	651405.1108
37	37.0000	18.7000	0.7285	674346.1254
38	37.0000	18.9400	0.7289	697338.4719
39	37.0000	19.4200	0.7231	717781.2107
40	38.0000	20.4400	0.7193	740217.2575
41	38.0000	21.6000	0.6999	763168.7517
42	38.0000	21.7000	0.7026	786516.4278
43	38.0000	22.3400	0.6930	807347.1200
44	38.0000	22.9000	0.6598	829683.9964
45	39.0000	23.1400	0.6435	850562.9048
46	39.0000	23.6200	0.6462	871400.4836
47	39.0000	24.4800	0.6279	892662.1284
48	39.0000	25.6800	0.6195	914531.7228
49	39.0000	26.5400	0.6112	937423.1915
50	39.0000	27.7200	0.5810	959701.9358
51	39.0000	28.6600	0.5403	980104.4469
52	39.0000	29.0000	0.5404	1002391.1996
53	39.0000	29.2600	0.5335	1023817.1904
54	39.0000	29.9200	0.5419	1045272.0728
55	41.0000	31.0600	0.5440	1066528.6143
56	41.0000	31.3000	0.5481	1088067.5602
57	41.0000	31.9000	0.5300	1110063.9477
58	41.0000	32.1400	0.5196	1133448.3986
59	43.0000	32.4400	0.5136	1157911.0718
Pos: [849.6877723903239, 351.1001105870223, -2.757043260793857, 0.9474349540152485]

Run: 7
Iter	Gbest	AvrFit	Diver	ETime	
0	30.0000	0.6600	1.0000	24582.9008
1	30.0000	0.7200	0.9792	33453.6994
2	32.0000	0.7600	0.9900	45518.9264
3	32.0000	0.7800	0.9814	55209.0688
4	32.0000	0.8000	0.9721	66570.1761
5	32.0000	0.8400	0.9958	77730.1712
6	32.0000	1.0400	0.9638	91254.4618
7	32.0000	1.1400	0.9142	101544.0779
8	32.0000	1.1600	0.9562	111662.7052
9	32.0000	1.4600	0.9725	124769.3000
10	32.0000	1.8600	0.9446	135485.5812
11	32.0000	2.5200	0.9539	146140.7013
12	32.0000	2.7200	0.9526	160213.6900
13	32.0000	2.7200	0.9556	173766.4692
14	32.0000	2.7600	0.9413	187780.4456
15	32.0000	2.8200	0.9310	201522.6724
16	32.0000	2.8400	0.9413	216520.6685
17	32.0000	3.0000	0.9531	232800.7410
18	32.0000	3.0600	0.9298	246722.6670
19	32.0000	3.2000	0.9392	260693.2130
20	32.0000	3.3000	0.8961	274612.2713
21	32.0000	3.4800	0.9069	291891.2952
22	32.0000	4.3600	0.9103	312230.7193
23	35.0000	5.0800	0.8850	330140.7542
24	35.0000	5.1400	0.9217	348302.8262
25	35.0000	6.6400	0.9198	367341.0630
26	36.0000	7.2200	0.8985	387663.0309
27	36.0000	7.2600	0.8773	407677.5351
28	36.0000	8.5600	0.8477	429736.4025
29	36.0000	9.1600	0.8183	451293.2014
30	36.0000	10.2000	0.8103	472355.7079
31	38.0000	11.0800	0.7707	494894.8281
32	38.0000	11.5200	0.7918	516364.4962
33	38.0000	12.0600	0.7742	537857.6667
34	38.0000	12.9400	0.7707	559095.8922
35	38.0000	15.0200	0.7604	580150.2256
36	39.0000	17.0200	0.7296	600424.5641
37	39.0000	18.4800	0.7197	623496.0027
38	39.0000	20.0600	0.7005	646829.2155
39	39.0000	22.5000	0.6674	670947.9034
40	39.0000	23.6000	0.6600	694992.6658
41	39.0000	25.4000	0.6333	720019.3832
42	39.0000	26.4400	0.6188	743991.3416
43	39.0000	28.8200	0.5736	767634.1498
44	39.0000	29.6400	0.5299	789796.4358
45	39.0000	30.5800	0.5244	814272.4845
46	39.0000	31.2200	0.5059	837925.6582
47	39.0000	31.5600	0.5044	863094.3847
48	40.0000	32.2200	0.4817	887304.8007
